mus मुस
bhag	भाग
amiiron	अमीरों
aagad	आगड़
murjha	मुरझा
hatenge	हटेंगे
bhaae	भाए
tokna	टोकना
niichii	नीची
kharabi	खराबी
gudiyon	गुड़ियों
mukshkilein	मुश्किलें
Amreeki	अमरीकी
samjayiye	समझाइये
durbhagya	दुर्भाग्य
dilruba	दिलरुबा
jalavaa	जलवा
bandagii	बन्दगी
khaaenge	खाएंगे
kharach	खनिज
atariyaa	अटरिया
karaden	करदें
punji	पूंजी
bhajpai	भाजापाई
svasthya	स्वास्थ्य
mushtaq	मुश्ताक
sarvochh	सर्वोच्च
jehadiyon	ज़िहादियों
hameare	हमारी
degii	देगी
dakhil	दाखिल
rotaa	रोता
kamsini	कमसिनी
Ahemdabad	अहमदाबाद
sundarta	सुंदरता
abhinay	अभिनय
chaahton	चाहतों
jasbell	जसबेल
karyabhaar	कार्यभार
bhithaya	बिठाया
bemariyaan	बीमारियाँ
hamamen	हममें
gavanava	गवनवा
kharaab	खराब
bhaav	भाव
buhaarun	बुहारूँ
maanoon	मानूँ
bhaan	भां
golta	घोलता
puraskaar	पुरस्कार
amiron	अमीरों
dheewaare	दीवारें
bhaar	भार
bhaat	भात
lallallaa	लल्लल्ला
bhaag	भाग
bhaai	भाई
bhaal	भाल
bhaam	भां
soonepan	सूनेपन
mungerilaal	मुंगेरीलाल
roton	रोतों
eks	एक्स
dhadkati	धड़काती
turadi	टुरदी
aapadiya	आपड़िया
pataak	पटाक
laauungaa	लाऊँगा
sundari	सुंदरी
sthapit	स्थापित
nitish	नितिश
niradhan	निरधन
machalega	मचलेगा
khayo	खायो
jagaavan	जगावन
dvar	द्वार
singing	सिंगिंग
guzarenge	गुज़रेंगे
saharanpur	सहारनपुर
guzarengi	गुज़रेंगी
elo	एलो
khaye	खाए
darwazo	दरवाजे
khayi	खाई
faramaao	फ़रमाओ
darwaze	दरवाजे
bhale	भाले
hawaayen	हवाएं
faramaan	फ़रमान
bhala	वाला
khaya	खाया
waasate	वास्ते
viiraanaa	वीराना
darwaza	दरवाज़ा
waasata	वासता
bhali	भाली
bandagee	बंदगी
khilaye	खिलाई
aaghe	आगे
bhanu	भानु
khilaya	खिलाया
aagha	आगा
hoongi	होगी
banaayuunga	बनाऊंगा
samhala	सम्हाला
parastar	परस्तार
marathi	मराठी
satavti	सताती
mlechcha	म्लेच्च
pukaarenge	पुकारेंगे
bahaayen	बहाएं
chamki	चमकी
sapnoin	सपनों
pukaarengi	पुकारेंगी
machalein	मचलें
chodkar	छोड़कर
chamke	चमके
enu	एनू
chamka	चमका
bhand	बाँध
lutaayenge	लुटाएँगे
punya	पुण्य
kroon	क्रूं
sukun	सुकून
kroom	क्रूं
tarsaanaa	तरसाना
tidir	तिडिर
khata	कहता
khate	खाते
khatm	खत्म
nindon	नींदों
bhaim	भैं
khass	खास
javani	जवानी
chiragon	चिरगों
sthapna	स्थापना
sundarii	सुन्दरी
tasallii	तसल्ली
ranjhna	राँझना
naanaa	नाना
ganeshottsav	गणेशोत्सव
ehe	एहे
kamsin	कमसिन
ehd	एहद
naanak	नानक
nishaanaa	निशाना
bhago	भागों
khaun	कहाऊँ
golii	गोली
aazaadiyaan	आज़ादियाँ
diijo	दीजो
dagamagaa	डगमगा
banaayuungi	बनाऊँगी
yaakoii	याकोई
rotii	रोटी
humaaraa	हमारा
chaadani	चाँदनी
veena	वीना
wishq	विश्क़
dabaanaa	दबाना
eid	ईद
vandaayiye	वंडाईये
Oct15	अक्तूबर
degaa	देगा
bataayenge	बताएंगे
sadkoon	सड़कों
Doron	धौरों
unanchaas	उनंचास
rotha	रोता
batlaunga	बतलौंगा
samajhakar	समझकर
khilata	खिलता
gharondon	घरोंदों
bhain	भैं
daulataraam	दौलतराम
khilati	खिलती
eke	के
phulajhadiyon	फुलझड़ियों
khilate	खिलते
eka	एक
rajasvon	राजस्व
chillaayega	चिल्लाएगा
kayaanein	कयानें
bisaarenge	बिसारेंगे
priti	प्रीति
duwa	दुवा
hovat	होवत
guladasta	गुलदस्ता
deepu	दीपू
prita	प्रीत
maichon	मैचों
tabaahi	तबाही
nachan	नाच
naseeb	नसीब
sataauungii	सताऊंगी
sambandhit	संबंधित
git	गीत
gir	घर
gudiyaa	गुड़िया
gim	गिं
hayaa	हया
gin	गिं
salonaa	सलोना
khari	खरीद
dostana	दोस्ताना
mulaqaatein	मुलाकातें
samaate	समाते
badhega	बढ़ेगा
chodiye	छोड़िये
samaati	समाती
jalatii	जलती
kroun	क्रौं
ghu	घु
kroum	क्रौं
phuulegaa	फूलेगा
muhalla	मुहल्ला
gho	घो
gaauungaa	गाऊंगा
muhalle	मुहल्ले
ghi	घि
swamy	स्वामी
ghe	घे
gha	घ
vaado	वादों
shilpa	शिल्पा
banke	बनके
filmi	फ़िल्मी
dhuniya	दुनिया
swami	स्वामी
vaadi	वादी
vaade	वादे
vaada	वादा
kinhin	किन्हीं
filmo	फ़िल्मों
meharabaaniyaan	मेहरबानियां
badhegi	बढ़ेगी
hovai	होवै
sachmuch	सचमुच
khant	कंठ
breem	ब्रीं
samaane	समाने
zarurat	ज़रूरत
vaako	वाको
breen	ब्रीं
badaltaa	बदलता
aansuo	आँसुओं
chaurangi	चौरंगी
aansun	आँसुं
samaana	समाना
thiyetar	थियेटर**
chamakaa	चमका
banho	बाँहों
chamakan	चमकन
chaaraagaraan	चारागराँ
ghoomana	घूमना
miljul	मिलजुल
gen	गें
deeva	दीवा
get	गेट
chamakat	चमकत
ger	गैर
priye	प्रिय
banii	बनी
samarpat	समर्पित
banie	बनिए
samarpan	समर्पन
chudiyaan	चूड़ियाँ
gee	गी
samarpak	समर्पित
jaayuun	जाऊँ
priya	प्रिय
jaanevaalon	जानेवालों
khana	कहां
gem	गें
postar	पोस्टर
baney	बने
peechhaa	पीछा
udoongi	उड़ूँगी
samiksha	समीक्षा
chaalengi	चालेंगी
chaurasi	चौरासी
niraale	निराले
khali	खाली
golaa	गोला
niraali	निराली
sapnaa	सपना
england	इंगलैन्ड
ladkon	लड़कों
singheshwar	सिंघेश्वर
sochakar	सोचकर
niraala	निराला
tolaa	टोला
qayaamaat	क़यामात
bekarariya	बेकरारिया
ravor	रेवड़
sujhe	सूझे
vaahe	वाहे
masjid	मस्जिद
charavat	चरावत
nachaa	नचा
khakh	खाक
runjhunati	रुनझुनती
samhaal	सम्हाल
aansuu	आँसू
chayega	छाएगा
beparwah	बेपरवाह
manamohan	मनमोहन
khala	खाला
suramedaanii	सुरमेदानी
dikha	दिखा
samundra	समुद्र
milkar	मिलकर
bandi	बंदी
gabhrao	घबराओ
gaz	गज़
bande	बंदे
bandh	बंद
banda	बंदा
hyderabadi	हैदराबादी
imkaan	इम्कान
samaaya	समाया
vaana	वाना
gad	गड़
banen	बनें
vivyata	विद्वत्ता
gai	गै
samaayi	समाई
agenciyo	एजेंसियों**
samaaye	समाय
vidhaataa	विधाता
dabaaoon	दबाऊँ
aansoo	आँसू
deeje	दीजे
gokul	गोकुल
gaa	गा
sisakii	सिसकी
shivpuri	शिवपुरी
banee	बनी
hiraan	हीरां
gas	गैस**
gar	गर
gat	गत
swast	स्वस्थ
gav	गाँव
aabashaaron	आबशारों
gay	गया
chamaken	चमकें
khain	खैं
gaj	गज
khaim	खैं
gam	गं
gal	गाल
badhaavo	बढ़ावो
pilaaoongi	पिलाऊँगी
gan	गं
chahakane	चहकने
thukaraye	ठुकराएँ
padhanaa	पढ़ना
simala	सिमला
darwaje	दरवाजे
ehsas	एहसास
bekaraarian	बेकरारिया
megharaaj	मेघराज
priit	प्रीत
deejo	दीजो
vaale	वाले
bhadakaayaa	भड़काया
vaala	वाला
khetiyaan	खेतियाँ
barasaakar	बरसाकर
kaarkhana	कार्खाना
vaalu	वालू
sambandhon	सम्बन्धों
badhaata	बढ़ाता
vaalo	वालो
badhaate	बढ़ाते
pardada	परदादा
maasuumiyat	मासूमियत
badhaati	बढ़ाती
mitatha	मिटाता
vaali	वाली
vaase	वासे
duri	दूरी
vaasi	वासी
jaaein	जाएं
durr	दूर
kasamein	कसमें
swapn	स्वप्न
darogaa	दरोगा
banai	बनाई
talegi	टलेगी
jinhen	जिन्हें
vaara	वारा
ladkadhata	लड़खड़ाता
samarpit	समर्पित
khafa	कहाँ
deeni	दीनी
vaare	वारे
banao	बनाओ
vaari	वारी
deena	दीना
hawaayon	हवाओं
zulmat	ज़ुल्मत
vaaro	वारो
naamon	नामों
roobaroo	रुबरु
banaa	बना
sisakna	सिसकना
kashamir	कश्मीर
cotton	कॉटन**
sujan	सुजन
jayamaala	जयमाला
badhaaye	बढ़ाए
gunagaan	गुनगान
khadr	कद्र
manamohanaa	मनमोहना
swarg	स्वर्ग
safedi	सफ़ेदी
khadi	कड़ी
kawalli	कावल्ली
adiwasi	आदिवासी
badhaayi	बधाई
nimbo	नीम्बू
beqaabuu	बेक़ाबू
dubaa	डुबा
swarn	स्वर्ण
duub	डूब
khada	खड़ा
nimbu	नीम्बू
chullhe	चुल्ल्हे
niraash	निराश
duun	दूं
poorani	पुरानी
hoven	होवें
duur	दूर
tumahaare	तुम्हारे
beton	बेटों
ghoomate	घूमते
aabaadiyon	आबादियों
tumahaari	तुम्हारी
ghoomata	घूमता
duva	दुवा
yaadein	यादें
Shrank	श्रम
khaab	ख्वाब
duulhaa	दूल्हा
badhaana	बढ़ाना
ravaiya	रवैया
khaal	खाल
khaak	खाक
chadhaao	चढ़ाओ
chamakna	चमकना
khaai	खाई
chadhaai	चढ़ाई
naukriya	नौकरियाँ
khaae	खाए
khaas	खास
khaat	खात
khaaq	खाक़
chadhaav	चढ़ाव
karegii	करेगी
khaar	खार
khaao	खाओ
khaam	खां
jaaegi	जाएगी
khaan	खां
behkoge	बहकोगे
khaay	खाय
sabhaamein	सभामें
aisaa	ऐसा
jaaega	जाएगा
paaras	पारस
instinct	इंस्टिक्ट**
anupatheen	अनुपठित
murajhaa	मुरझा
milaoge	मिलाओगे
jyoton	ज्योतों
pendi	पेंडी
kabaab	कबाब
hazaari	हज़ारी
paaram	पारम
tasaviron	तसवीरों
choukii	चौकी
paarai	पराई
baahute	बाहुते
thukaraae	ठुकराए
sisakta	सिसकता
duii	दुई
damase	दमसे
dubey	डूबे
nyaaya	न्याय
pench	पेंच
thukaraao	ठुकराओ
uljhan	उलझन
thukaraay	ठुकराय
fut	फ़ुट
khanaj	खनिज
mitataa	मिटता
simati	सिमटी
simate	सिमटे
murida	मुरीदा
betii	बेटी
giravar	गिरवर
dubhi	डूबी
manaaega	मनाएगा
luut	लूट
dukh	दुख
luun	लूं
kaabile	काबिल
uljhii	उलझी
dulaari	दुलारी
duji	दूजी
mitaayaa	मिटाया
anganaa	अंगना
kolkata	कोलकाता
ful	फूल
fum	फुं
anganai	अंगनाई
fun	फुं
uthaauunga	उठाऊँगा
beqaaboo	बेक़ाबू
sapnoo	सपनों
lutt	लूट
sapnon	सपनों
dulaara	दुलारा
duja	दूजा
khvaabon	ख्वाबों
saahuukaar	साहूकार
nishprapancham	निष्प्रपंचम
dulaare	दुलारे
duje	दूजे
betha	बेता
dilavaalaa	दिलवाला
chamakta	चमकता
lute	लूटे
lutf	लुत्फ़
kahalaaegaa	कहलाएगा
akraman	आक्रमण
chahakati	चहकती
chamakte	चमकते
dilwaalon	दिलवालों
luti	लूटी
muthi	मूठी
luta	लूटा
Azham	आज़म
chanve	चनवे
meharban	महरबाँ
chamakti	चमकती
rawan	रावण
vedan	वेदन
bevafaa	बेवफ़ा
vedam	वेदम
channaan	चन्नां
siraaj	सिराज
hamalaa	हमला
jinhon	जिन्हों
ekataaraa	एकतारा
haseena	हसीना
vaasata	वासता
dayaniya	दयनीय
haseeno	हसीनों
fou	फौ
nimmi	निम्मि
karegaa	करेगा
fikra	फ़िक्र
kabahi	कबही
for	फॉर
fom	फों
fon	फों
foo	फू
deewaanagee	दीवानगी
banun	बनूँ
chhodiye	छोड़िये
rangeele	रंगीले
rangeeli	रंगीली
ayodhyaa	अयोध्या
chaahuun	चाहूं
samundar	समंदर
deeye	दीये
dragoncore	ट्रावणकोर
vaasana	वासना
naamak	नामक
kachare	कचरे
farhad	फ़रहाद
khataon	खताओं
kabahu	कबहू
samajhenge	समझेंगे
chakana	चकना
bante	बनते
mumtaz	मुमताज
deeya	दीया
banti	बनती
banta	बनता
akhedam	अखेदम
cheekhta	चीखता
bujhaayiye	बुझाईये
bansi	बंसी
dijie	दीजिए
duaa	दुआ
samaake	समाके
kaviyon	कवियों
rangeela	रंगीला
responsible	रिस्पोन्सिबल**
chadhake	चढ़के
bardaasht	बर्दाश्त
sikhalaadi	सिखलादी
doulat	दौलत
rakhenge	रखेंगे
mulaakaat	मुलाकात
aisee	ऐसी
farvari	फ़रवरी
chadhane	चढ़ने
hajaamat	हजामत
karegee	करेगी
chadhana	चढ़ना
ratlam	रतलाम
bhichhaya	बिछाया
zalazalon	ज़लज़लों
nyaaro	न्यारो
betab	बेताब
betaa	बेटा
duch	डच
nyaari	न्यारी
angon	अंगों
betal	बेताल
behoshiyon	बेहोशियों
nyaara	न्यारा
muraliyaa	मुरलिया
nyaare	न्यारे
flu	फ्लू**
duboe	डुबोए
nouvi	नवीं
angna	अंगना
gulfaam	गुल्फ़ाम
duba	डूब
chakara	चकरा
badhaake	बढ़ाके
dube	डूबे
duboy	डुबोय
mitaayin	मिटाईं
vishesh	विशेष
dubi	डूबी
galatiyon	गलतियों
dubon	डुबो
vaach	वाच
dubo	डुबो
apitu	अपितु
aaftaab	आफ़ताब
patliputra	पाटलिपुत्र
fin	फिं
luke	लुके
fim	फिं
dayera	दायरा
kasturi	कस्तूरी
fir	फिर
channa	चन्ना
naamaa	नामा
parachhaeeyaan	परछाइयाँ
banon	बनों
banoo	बनूँ
dikhalaaoonga	दिखलाऊँगा
turbat	तुर्बत
chhodiyo	छोड़ियो
anurodh	अनुरोध
banno	बन्नो
nayiya	नईया
pranaali	प्राणाली
gulzaariyaan	गुल्ज़ारियां
yoduun	योदूं
tolii	टोली
karegi	करेगी
walhaya	वलहाया
banne	बने
dolegee	डोलेगी
luka	लुका
nindiya	निंदिया
banna	बनना
nayiyo	नईयो
bulaauun	बुलाऊँ
baankapan	बाँकपन
jiivana	जीवन
banni	बन्नी
barajorii	बरजोरी
parade	परदे
hosh	होश
kalajugamein	कलजुगमें
dilha	दिल्हा
bigadane	बिगड़ने
sunakar	सुनकर
punarjiwit	पुनर्जीवित
besur	बेसुर
dekhegee	देखेगी
sulaayegi	सुलायेगी
bahimaanaa	बहिमाना
barsaaoon	बरसाऊँ
jhunak	झुनक
kamyaab	कामयाब
sulaayega	सुलायेगा
parada	परदा
biso	बिसो
chunowti	चुनौती
baabaa	बाबा
biti	बीती
hote	होती
dilip	दिलीप
bite	बीते
hoti	होती
bith	वित्त
intazar	इंतज़ार
bita	बिता
baabal	बाबल
hota	होता
paaogi	पाओगी
jaanejigar	जानेजिगर
karaane	कराने
thinsia	टिन्सिया
khanke	खनके
zardiyaan	ज़र्दियाँ
dekhoge	देखोगे
baaraat	बारात
arriye	अररिय
aavunga	आऊँगा
sabarakar	सावरकर
houm	हौं
huquumat	हुक़ूमत
dekhogi	देखोगी
pukaren	पुकारें
jhunaa	झुना
samajaana	समझाना
bulaatin	बुलातीं
chalayate	चलयते
nyotha	न्यौता
tarsaana	तरसाना
jhalakiya	झलकियाँ
houn	हौं
bird	बर्ड**
paraae	पराए
gunagunaayuun	गुनगुनाऊँ
mitrata	मित्रता
hove	होवे
public	पब्लिक
rubaayi	रुबाई
chetak	चेतक
paraai	पराई
honi	होनी
aadmi	आदमी
rupaiya	रुपया
parivaar	परिवार
hont	होंठ
sohini	सोहनी
karaale	कराले
mangavaaye	मंगवाए
pahchane	पहचाने
visthaar	विस्तार
jalawon	जलवों
kaafoor	काफ़ूर
nyotaa	न्यौता
kacheri	कचेरी
dad	दाद
hook	हूक
shyam	श्याम
daa	दा
dab	दब
hoon	हूँ
hooo	हो
hoom	हूं
hazam	हज़म
dak	डाक
chhupaayunga	छुपाऊँगा
hoor	हूर
dal	दल
dekhegii	देखेगी
dag	दाग
hoot	होंठ
paaoon	पाऊँ
das	दस
dar	दर
dan	दन
jamaayenge	जमाएंगे
dam	दम
betaabiyaan	बेताबियां
hazar	हजार
day	डे**
khanoo	खाऊँ
khanon	खानों
bill	बिल
motiye	मोतिये
bili	बिलि
europ	यूरोप
motiyo	मोतियों
pankhon	पंखों
qadamon	कदमों
asiyan	एसियाँ
deS	देश
bulaatee	बुलाती
vusme	उसमें
bima	बीमा
tarsaata	तरसाता
doobegi	डूबेगी
paryavekshak	पर्यवेक्षक
pukaraa	पुकारा
jaaduu	जादू
nauvin	नवीं
rupaiye	रुपए
avosh	अवशेष
sidhaayaa	सिधाया
jaadui	जादुई
hori	होरी
cheezen	चीजें
mudhdatein	मुद्दतें
bina	बिना
leikha	लिखा
mukunda	मुकुन्द
dekhoji	देखोजी
karaaho	कराहो
cup	कप
kabase	कबसे
jiyaravaa	जियरवा
mallaah	मल्लाह
bengal	बंगाल
banjara	बंजारा
maahtaab	माहताब
nilam	नीलम
poochhoge	पूछोगे
dilai	दिलाई
poochhogi	पूछोगी
hold	होल्ड
naalon	नालों
dilaa	दिला
nilaa	नीला
havaayein	हवाएं
gallaan	गल्लां
hoke	होके
manaaluun	मनालूँ
home	होम
mehara	मेहरा
jaaeeye	जाइये
tutega	टूटेगा
bulaataa	बुलाता
chaadarein	चादरें
karavaan	करवां
tutegi	टूटेगी
samajaaun	समझाऊँ
holo	होलो
theekthak	ठीकठाक
parakh	परख
peedheeyon	पीढीयों
inheen	इन्हीं
aparaadhi	अपराधी
holi	होली
purasi	पुरसी
hole	हौले
baandhege	बाँधेंगे
karaado	करादो
tohri	तोहरी
hone	होने
peaceful	पीसफुल**
tohre	तोरे
hona	होना
hastakshep	हस्तक्षेप
gidde	गिद्दे
swapnil	स्वपनिल
aashiyaan	आशियां
wansewaa	वनसेवा
pohonchte	पहुँचते
bhuuluun	भूलूँ
banjaro	बंजारों
safaye	सफाए
jodoon	जोड़ूँ
purava	पुरवा
biwi	बीवी
aitabaareyaa	ऐतबारेया
huzoor	हुज़ूर
jaauunga	जाऊँगा
samiiti	समिति
khanij	खनिज
chetan	चेतन
shikva	शिकवा
paaoge	पाओगे
tarsaaya	तरसाया
shikve	शिकवे
apamaan	अपमान
jaauungi	जाऊंगी
sroton	स्रोतों
karaabi	ख़राबी
suvidha	सुविधा
amabarii	अमबरी
sinchati	सींचती
armanan	अरमाँ
tarsaaye	तरसाए
hoga	होगा
hoge	होंगे
hogi	होगी
dekhegaa	देखेगा
jaadon	जाड़ों
hiroinh	हिरोइन्
jaadoo	जादू
phuaare	फुआरे
itaraayaa	इतराया
hazin	हज़ीं
shikwe	शिकवे
shakuntala	शकुन्तला
raftaare	रफ़्तारें
jagamagaataa	जगमगाता
shikwa	शिकवा
aazaad	आज़ाद
janaazaa	जनाज़ा
kaljuga	कलजुग
chapal	चपल
simhaasan	सिम्हासन
gupachup	गुपचुप
angan	आंगन
mukhya	मुख्य
antargat	अंतर्गत
aazaar	आज़ार
bitt	वित्त
kizaaon	ख़िज़ाओं
hoho	होहो
khubasurat	खूबसूरत
inhein	इन्हें
Jhabua	झाबुआ
swaadisht	स्वादिष्ट
bivi	बीवी
hoja	होजा
zaruuri	ज़रूरी
fikar	फिकर
asatya	असत्य
jutaane	जुटाने
lagaayunga	लगाऊँगा
parate	परते
rokatii	रोकती
nigahaen	निगाहें
fariyaad	फरियाद
deenaaron	दीनारों
shikar	शिकार
parast	परस्त
shikan	शिकन
naagahaan	नागहाँ
mahaasaagar	महासागर
mehalo	महलों
yevam	एवं
clw	सीएलडब्ल्यू**
terahavaan	तेरहवां
baarati	बाराती
paratu	परंतु
kitney	कितने
paanchavaa	पांचवा
blade	ब्लेड**
vadakkam	वड़क्कम
hataao	हटाओ
crorepati	क्रोरेपति
maaloom	मालूम
jhumna	झूमना
baraf	बरफ़
pukarun	पुकारूँ
todenge	तोड़ेंगे
barah	बारह
jhumne	झूमने
pyar	प्यार
pyas	प्यास
shirimati	शिरीमती
baaboo	बाबू
mehaka	महका
mehake	महके
saiyaadon	सैयादों
pyaa	प्यार
shireen	शिरीं
zaalamaan	ज़ालमाँ
mehaki	महकी
jingle	जिंगल
aazadi	आजादी
tajalli	तजल्ली
sunhere	सुनहरे
sunhera	सुनहरा
coi	कोई
rozgar	रोजगार
khelnge	खेलेंगे
biiraanaa	बीराना
pahuche	पहुँचे
mitawaa	मितवा
hiyaraake	हियराके
ghodeji	घोड़ेजी
duaen	दुआएं
phansaayegaa	फँसाएगा
madraasi	मद्रासी
raatari	रातरी
buliyaan	बुलियां
dharitri	धरित्री
shaayara	शायरा
zulmon	ज़ुल्मों
kariidaron	ख़रीदरों
parayo	परायो
sthanoo	स्थानों
parayi	पराई
ratiyaan	रतिया
paraye	पराये
payaliya	पायलिया
barat	बारात
baras	बरस
paraya	पराया
baran	बरन
qatilaana	क़ातिलाना
pukarta	पुकारता
shaayari	शायरी
saaliyon	सालियों
qaabuu	क़ाबू
duaar	दुआर
ravan	रवन
karaaye	कराए
alvida	अलविदा
jaaongi	जाऊंगी
sajaniyaan	सजनियां
karaaya	कराया
paiyya	पैंयाँ
prathameek	प्राथमिक
jaaonga	जाऊंगा
harishchandr	हरिश्चन्द्र
minnat	मिन्नत
jhumka	झुमका
Ahmadabad	अहमदाबाद
jhumke	झुमके
jagamagaatii	जगमगाती
parawa	परवा
shraddhaluvoh	श्रद्धालुओं
farebi	फ़रीबी
harjaai	हरजाई
paradesee	परदेसी
mushakila	मुशकिल
vuske	उसके
vyavsay	व्यवसाय
bharathee	बाराती
dikhaakar	दिखाकर
ruyaan	रुझान
rusavaayiyaan	रुसवाइयाँ
bharamaakar	भरमाकर
dipawali	दिपावली
duaon	दुआओं
saralaan	सरलां
jhulney	जुलने
mlechchan	म्लेच्चन
chaudah	चौदह
naachuungii	नाचूँगी
modern	मॉडर्न**
leheki	लहकी
zabaan	ज़बान
kitnaa	कितना
kaalighataaen	कालीघटाएँ
aazama	आज़मा
drishhti	द्रिष्टी
guladastaa	गुलदस्ता
khanth	कंठ
bolanewaala	बोलनेवाला
belein	बेलें
bigadati	बिगड़ती
mukhda	मुखड़ा
bigadate	बिगड़ते
sandesaa	संदेसा
mukhde	मुखड़े
bigadata	बिगड़ता
jhing	झिंग
fitarat	फ़ितरत
mitraan	मितरां
kolakata	कोलकाता
hoxa	होक्सा
besak	बेशक
jhino	झीनो
remote	रिमोट
aaega	आएगा
cha	च
baabuu	बाबू
jhumta	झूमता
parbat	पर्बत
paradesii	परदेसी
karaate	कराते
chu	चु
damakat	दमकत
paanti	पाँती
damakal	दमकल
aakashbani	आकाशवाणी
che	चे
chalayasi	चलयसि
grahan	ग्रहण
chahakegi	चहकेगी
chi	चि
aaegi	आएगी
baaraha	बारहा
cho	चो
rachataa	रचता
sadsya	सदस्य
naalaa	नाला
fizaaein	फ़िज़ाएँ
paansa	पांसा
armanon	अरमानों
adhaykshata	अध्यक्षता
sadsyo	सदस्यों
sonaron	सोनारों
hoye	हूँ
dikhe	दिखे
udaiyee	उद्देश्य
hoyi	होई
karaare	करारे
ajantaa	अजन्ता
bootaa	बूटा
rehanaa	रहना
karaari	करारी
baawariyaa	बावरिया
hoya	होया
baabul	बाबुल
jhuloon	झूलों
chaabukh	चाबुक
naakam	नाकाम
resasasa	रेसससा
aazmaaoge	आज़माओगे
paapii	पापी
besabab	बेसबब
saheli	सहेली
bhagliya	बार्गली
paapin	पापिन
sainyaa	सैंया
kangana	कंगना
lutayenge	लुटाएँगे
ganguli	गाँगुली
iltejaa	इल्तेजा
bhog	भोग
bhoj	भोज
bhom	भों
bhon	भों
marahalon	मरहलों
bhoo	भू
bhor	भोर
khaaoge	खाओगे
bhou	भौ
banwayenge	बनवाएँगे
sarvashrist	सर्वश्रेष्ठ
Gayo	गाँव
jaagiir	जागीर
paapki	पापकी
dilajala	दिलजला
dilajale	दिलजले
maharabaan	महरबान
sanasanaati	सनसनाती
dasahara	दसहरा
write	राईट**
kangale	कंगले
aacha	अच्छा
kangali	कंगली
ratla	रतलाम
jivanaveli	जीवनवेली
naukaraani	नौकरानी
saugandh	सौगन्ध
ladkadaaya	लड़खड़ाया
ganguly	गाँगुली
bhra	भ्रा
kayaal	ख़याल
hooren	हूरें
aksar	अक्सर
gopiyaan	गोपियाँ
manamaani	मनमानी
harasaten	हरसतें
indaur	इंदौर
palanimanakam	पलानिमक्कम
zambeel	ज़म्बील
baitho	बैठो
raahul	राहुल
sanasanaane	सनसनाने
hatake	हटके
baithu	बैठूं
ithlaati	इठलाती
hatale	हटाले
baithi	बैठी
jalavon	जलवों
raahuu	राहू
iradaa	इरदा
baitha	बैठा
shukriyaa	शुक्रिया
baithe	बैठे
chaadaro	चादरों
chishti	चिश्ती
eek	एक
Shyaam	श्याम
dikhaaiye	दिखाइये
chaadare	चादरे
tasaviir	तसवीर
bezubaani	बेज़ुबानी
saayiyaan	साइयाँ
ees	इस
Gaun	गाँव
paapon	पापों
Gaur	गौर
halkoro	हल्कोरो
sahanii	सहनी
paappe	पाप्पे
hatana	हटना
amajad	अमजद
faslein	फसलें
madhuban	मधुबन
jaaegaa	जाएगा
rickshaw	रिक्शा
raastriya	राष्ट्रीय
paradesan	परदेसन
mahamaan	महमान
bettalion	बटालियन
mistar	मिस्टर
Kaarkram	कार्यक्रम
bikataa	बिकता
raton	रातों
majburiyan	मजबूरियाँ
kanvaaraa	कंवारा
raataan	रातान
chamatkrit	चमत्कृत
pariyaan	परियाँ
parivahan	परिवहन
nikammaa	निकम्मा
gubar	गुबार
kahengi	कहेंगी
kisaan	किसान
upsarpanch	उपसरपंच
raahii	राही
kahenge	कहेंगे
mehbub	महबूब
uccha	उच्च
ithlaaye	इठलाये
loriyan	लोरियां
bhaawanaao	भावनाओ
paapan	पापन
paapad	पापड़
paapaa	पापा
piichhe	पीछे
bandhaaya	बँधाया
aajamaaye	आजमाये
dimag	दिमाग
duniyawaale	दुनियवाले
avasaro	अवसरों
nagriyaan	नगरिया
armaan	अरमान
bolenge	बोलेंगे
dimak	दीमक
rakhuunga	रखूंगा
qaabil	काबिल
collins	कॉलिन्स
palanimanakkar	पलानिमक्कम
himmatavaala	हिम्मतवाला
khelnaa	खेलना
tanhaiyaan	तन्हाइयाँ
palanimanakkam	पलानिमक्कम
thithli	तितली
phaankon	फाँकों
khaoge	खाओगे
raatama	रातमा
konkan	कोंकण
apnepan	अपनेपन
siraphire	सिरफिरे
chaayegi	छायेगी
digree	डिग्री
hakikat	हकीकत
hotaa	होता
pahachaanoon	पहचानूँ
duu	दू
barahaman	बरहमन
mandlaaye	मंडलाये
dur	दूर
masaaledaar	मसालेदार
parivartana	परिवर्तन
dus	दस
karabii	ख़राबी
zabaanein	ज़बानें
hotal	होटल
chaayega	छाएगा
hotey	होते
pighalane	पिघलने
subengineer	सबइंजीनियर**
bharatiya	भारतीय
paapee	पापी
siraphiri	सिरफिरी
tauqir	तौक़ीर
bharatiye	भारतीय
dhalunga	ढालूँगा
suvhidhaon	सुविधाओं
jhumbe	झुम्बे
naakon	नाकों
dhanavanon	धनवानों
kangaal	कंगाल
darvaajo	दरवाजे
bekadar	बेकदर
fokat	फोकट
jhumar	झूमर
bhul	भूल
paiyan	पैंया
raahoo	राहू
paiyam	पयाम
bhum	भुं
raahon	राहों
bhun	भुं
hasaaenge	हसाएंगे
mumakin	मुमकिन
bhuj	बुझ
dhokhe	धोके
dhokha	धोखा
paiyaa	पैया
kutubameenar	कुतुबमीनार
apraahan	अपराह्न
kayonkar	कयोंकर
fijaa	फ़िजा
uthein	उठें
hotee	होती
sviikaar	स्वीकार
Gaon	गाँव
